Original Job Title,Cleaned Job Title,Action,New Value
"""NGS analysis and interpretation of the antiretroviral resistance profile of the HIV-1 virus"".","""NGS Analysis and Interpretation Of The Antiretroviral Resistance Profile Of The HIV-1 Virus"".",Remove punctuation at start and end,NGS Analysis and Interpretation Of The Antiretroviral Resistance Profile Of The HIV-1 Virus
4a,4A,Remove,
aa,Aa,Remove,
abcf,Abcf,Remove,
adiunct,Adiunct,Expand abbreviation,Adiunct Professor
adiunkt,Adiunkt,Expand abbreviation,Adiunct Professor
"Adj. prof, PI","Adj. Prof, PI",Expand abbreviation,"Adiunct Professor, Principle Investigator"
all,All,Remove,
AVP,AVP,Expand abbreviation,Assistant vice president
BDM,BDM,Expand abbreviation,Business development manager
BIO,BIO,Expand abbreviation,Biologist
CAO,CAO,Expand abbreviation,Chief analytics officer 
CBO,CBO,Expand abbreviation,Chief business officer
CCO,CCO,Expand abbreviation,Chief commercial officer
CDO,CDO,Expand abbreviation,Chief data officer
CEO,CEO,Expand abbreviation,Chief executive officer
CFO,CFO,Expand abbreviation,Chief financial officer
CIO,CIO,Expand abbreviation,Chief information officer
CLS,CLS,Expand abbreviation,Clinical laboratory scientist
CMA,CMA,Expand abbreviation,Certified management accountant
CMO,CMO,Expand abbreviation,Chief medical officer
COO,COO,Expand abbreviation,Chief operating officer
CPO,CPO,Expand abbreviation,Chief product officer
CRC,CRC,Expand abbreviation,Clinical research coordinator
CRO,CRO,Expand abbreviation,Chief research officer
CSM,CSM,Expand abbreviation,Customer success manager
CSO,CSO,Expand abbreviation,Chief scientific officer
CTA,CTA,Expand abbreviation,Clinical trial associate
CTO,CTO,Expand abbreviation,Chief technical/technology officer
CTS,CTS,Expand abbreviation,Clinical trial specialist
ddf,Ddf,Remove,
dev,Dev,Expand abbreviation,Developer
dff,Dff,Remove,
Dir,Dir,Expand abbreviation,Director
do,Do,Remove,
Doc,Doc,Expand abbreviation,Doctor
Dr,Dr,Expand abbreviation,Doctor / Doctorate
Dr.,Dr.,Expand abbreviation,Doctor / Doctorate
Dude,Dude,Remove,
DVM,DVM,Expand abbreviation,Doctor of veterinary medicine
EBER,EBER,Expand abbreviation,Engneer
EiR,Eir,Expand abbreviation,Entrepreneur in residence
eng,Eng,Expand abbreviation,Engineer
Epi,Epi,Expand abbreviation,
F&E,F&E,Expand abbreviation,
FSE,FSE,Expand abbreviation,
GM,GM,Expand abbreviation,General Manager
God,God,Expand abbreviation,
GP,GP,Expand abbreviation,General Practitioner
hh,Hh,Remove,
Ing,Ing,Expand abbreviation,Engineer
inv,Inv,Expand abbreviation,Investigator
IT,IT,Expand abbreviation,Information Technology
Lab,Lab,Expand abbreviation,Laboratory
M.D,M.D,Expand abbreviation,Medical Doctor
MAI,MAI,Expand abbreviation,MAI
Md,Md,Expand abbreviation,Medical Doctor
md,Md,Expand abbreviation,Doctor / MD
MGR,MGR,Expand abbreviation,Manager
MLA,MLA,Expand abbreviation,Medical laboratory assistant
MLS,MLS,Expand abbreviation,Medical laboratory scientist
MLT,MLT,Expand abbreviation,Medical laboratory technologist
mr,Mr,Remove,
MSL,MSL,Expand abbreviation,Medical science liaison
NED,NED,Expand abbreviation,Non-executive director
Other,Other,Remove,
P I,P I,Expand abbreviation,Principal investigator
PA,PA,Expand abbreviation,Physician Assistant 
PDRA,PDRA,Expand abbreviation,Postdoctoral research associate
PDRF,PDRF,Expand abbreviation,Postdoctoral research fellow
PhD,PhD,Expand abbreviation,Doctor of philosophy
PI,PI,Expand abbreviation,Primary Investigator
PM,PM,Expand abbreviation,Project Manager
PMO,PMO,Expand abbreviation,Project management office
Pr,PR,Expand abbreviation,Professor
Prof,Prof,Expand abbreviation,Professor
PS,PS,Expand abbreviation,Project Manager
QA,QA,Expand abbreviation,QA / QC / QM
QC,QC,Expand abbreviation,QA / QC / QM
QM,QM,Expand abbreviation,QA / QC / QM
R&amp;D,R&D,Expand abbreviation,Research and development
R&D,R&D,Expand abbreviation,Research and development
RA,RA,Expand abbreviation,Research Assistant
RA1,RA1,Expand abbreviation,Research assistant 1
RA2,RA2,Expand abbreviation,Research assistant 2
RCO,RCO,Expand abbreviation,Research contracts officer
Res,Res,Expand abbreviation,Researcher
RSE,RSE,Expand abbreviation,Research software engineer
sci,Sci,Expand abbreviation,Scientist
SRA,SRA,Expand abbreviation,Senior research associate
SRO,SRO,Expand abbreviation,Senior research officer
SSO,SSO,Expand abbreviation,Senior scientific officer
STE,STE,Expand abbreviation,Senior test engineer
stu,Stu,Expand abbreviation,Student
SVP,SVP,Expand abbreviation,Senior vice president
TAM,TAM,Expand abbreviation,Technical account manager
